B,Delta,h,Sigma_D_D,Sigma_D_h,tau_sf_inv,tau_so_inv,x_N,G_N,Sigma_GN,Gamma,Sigma_Gamma,T
66.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0114503504056631,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
68.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.012358055815144,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
70.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0070930598410028,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
72.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0167153463798044,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
74.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0134469977073968,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
76.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.012176819332378,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
78.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.012358055815144,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
80.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0096349395866906,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
82.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.015988877453084,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
84.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0112675909272413,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
86.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0096349395866906,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
88.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.01889323016431,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
